COG count
COG0386 56
COG0712 24
COG0620 15
COG1938 6
COG0805 68
COG0406 71
COG0419 6
COG0330 102
COG2151 26
COG0511 37
COG0268 19
COG4520 2
COG0450 43
COG0130 59
COG1199 29
COG0707 84
COG1565 28
COG0261 32
COG0314 12
COG1335 17
COG1195 50
COG0681 94
COG1162 34
COG0547 72
COG1121 89
COG0235 41
COG0073 7
COG0617 115
COG3494 16
COG1683 1
COG1952 8
COG0175 44
COG2017 30
COG1063 45
COG3067 16
COG4445 20
COG0597 22
COG5038 6
COG0778 30
COG1055 14
COG0781 11
COG2358 17
COG1238 13
COG2130 38
COG0496 55
COG1071 84
COG0038 22
COG2173 30
COG0236 18
COG2008 23
COG0232 34
COG2185 7
COG0422 97
COG3569 4
COG0026 70
COG4664 53
COG4172 27
COG0628 46
COG2135 21
COG0535 51
COG1058 91
COG0824 36
COG2030 18
COG1047 3
COG1782 6
COG3191 8
COG5013 1
COG1158 96
COG0035 25
COG3643 9
COG0329 118
COG3872 2
COG3807 9
COG5108 6
COG0156 78
COG0618 5
COG1552 6
COG5588 5
COG0823 80
COG4307 1
COG1509 1
COG1866 50
COG1061 18
COG1212 34
COG2849 18
COG2907 33
COG1726 21
COG0324 85
COG2141 69
COG2223 16
COG2895 15
COG1981 32
COG1609 20
COG1897 37
COG4311 12
COG0066 54
COG2022 76
COG0829 18
COG0460 83
COG0259 37
COG0704 9
COG2262 39
COG2109 107
COG0047 24
COG3608 8
COG0315 18
COG1957 10
COG1876 17
COG2913 7
COG3508 12
COG3845 58
COG1142 20
COG2059 8
COG0203 47
COG0116 48
COG0794 36
COG4148 9
COG3954 65
COG4091 6
COG1230 1
COG1629 60
COG3800 9
COG0461 41
COG3221 27
COG1278 19
COG0507 27
COG1344 34
COG0803 75
COG0662 19
COG3325 2
COG1089 165
COG1446 13
COG0333 12
COG3468 6
COG0144 63
COG1520 6
COG2242 21
COG0850 15
COG0077 67
COG0083 35
COG1321 11
COG1884 75
COG0534 41
COG3509 4
COG0548 81
COG1266 18
COG4100 77
COG1330 4
COG1459 27
COG3019 18
COG0588 35
COG2366 19
COG0172 139
COG1464 1
COG1576 23
COG4665 20
COG5616 6
COG1145 1
COG0395 82
COG2987 26
COG3011 21
COG0791 27
COG2031 3
COG3848 6
COG1182 2
COG2265 13
COG0851 6
COG2104 3
COG0529 41
COG1480 40
COG2805 20
COG3673 2
COG5022 6
COG1611 40
COG2513 58
COG2940 6
COG2179 3
COG3320 4
COG0287 59
COG0635 64
COG0491 92
COG0325 62
COG1398 37
COG0293 28
COG0818 8
COG0030 54
COG4802 6
COG3264 8
COG1508 16
COG5265 21
COG0300 99
COG0770 103
COG4630 17
COG3882 1
COG3842 144
COG1562 66
COG1968 48
COG0123 60
COG0212 17
COG0023 5
COG4122 15
COG1463 4
COG1828 22
COG0099 56
COG1770 59
COG1052 93
COG0762 39
COG0359 39
COG1796 2
COG0135 32
COG3454 6
COG4338 13
COG0078 102
COG1898 26
COG2159 5
COG0540 109
COG5016 9
COG0514 22
COG4337 6
COG3473 9
COG1210 30
COG0571 34
COG0727 6
COG2723 16
COG2086 28
COG0239 7
COG3395 36
COG3665 18
COG4642 61
COG2270 19
COG0664 54
COG1348 35
COG1881 4
COG0518 31
COG0321 51
COG2897 25
COG1120 26
COG0335 37
COG5285 24
COG4395 16
COG1079 26
COG1033 56
COG0040 57
COG0229 49
COG0718 14
COG1583 0
